kernel_width,elems_per_pe,left_cycles,middle_cycles,right_cycles,walltime
20,201,2199,2698,5202,11.011861085891724
20,211,2303,2827,5456,10.680309772491455
20,221,2409,2959,5713,11.673871994018555
20,231,2516,3094,5973,11.841570615768433
20,241,2621,3223,6227,13.769458055496216
20,251,2729,3358,6487,12.411820888519287
20,261,2834,3490,6744,12.965742588043213
20,271,2941,3623,7002,14.281989097595215
20,281,3045,3754,7258,14.77256464958191
20,291,3152,3886,7515,15.355667352676392
20,301,3260,4021,7775,16.488749504089355
20,311,3363,4150,8029,17.689470529556274
20,321,3471,4284,8288,15.941554069519043
20,331,3576,4417,8546,16.125634908676147
20,341,3683,4548,8802,18.264097690582275
20,351,3787,4681,9060,16.763086795806885
20,361,3894,4813,9317,17.326599836349487
20,371,4001,4948,9577,18.308060884475708
20,381,4105,5077,9831,21.692848205566406
20,391,4211,5209,10088,20.867803812026978
20,401,4318,5344,10348,19.879021883010864
20,411,4423,5473,10602,20.62297558784485
20,421,4531,5608,10862,21.14511752128601
20,431,4636,5740,11119,20.901929140090942
20,441,4743,5873,11377,23.938764572143555
20,451,4847,6004,11633,22.474501132965088
20,461,4954,6136,11890,23.726670503616333
20,471,5062,6271,12150,23.37147855758667
20,481,5165,6400,12404,24.126728296279907
20,491,5273,6534,12663,24.616544485092163
24,1,27,50,27,1.0630667209625244
24,11,215,202,356,1.4025495052337646
24,21,344,352,656,2.0205347537994385
24,31,478,516,970,2.5025694370269775
24,41,611,671,1275,3.1792051792144775
24,51,744,833,1587,3.4947996139526367
24,61,876,982,1886,4.2147321701049805
24,71,1006,1142,2196,4.76297664642334
24,81,1137,1303,2507,5.504736661911011
24,91,1265,1454,2808,5.853461503982544
24,101,1396,1611,3115,6.51856255531311
24,111,1525,1765,3419,7.244330167770386
24,121,1654,1918,3722,7.3837034702301025
24,131,1785,2076,4030,7.757411241531372
24,141,1914,2230,4334,10.672438383102417
24,151,2045,2386,4640,9.819715976715088
24,161,2171,2541,4945,9.773982048034668
24,171,2302,2697,5251,9.891610383987427
24,181,2430,2855,5559,10.844683408737183
24,191,2561,3006,5860,11.360725402832031
24,201,2691,3166,6170,11.326788187026978
24,211,2820,3320,6474,12.582811832427979
24,221,2950,3474,6778,10.83259105682373
24,231,3080,3631,7085,13.039875507354736
24,241,3210,3785,7389,14.732012748718262
24,251,3339,3943,7697,15.300934791564941
24,261,3467,4096,8000,16.037590980529785
24,271,3600,4254,8308,17.184689044952393
24,281,3729,4410,8614,16.02259373664856
24,291,3857,4562,8916,17.084554433822632
24,301,3987,4721,9225,18.13230037689209
24,311,4116,4875,9529,18.165945053100586
24,321,4247,5031,9835,18.053919315338135
24,331,4375,5186,10140,19.692115306854248
24,341,4506,5342,10446,19.784563541412354
24,351,4634,5500,10754,20.1728732585907
24,361,4765,5651,11055,19.876116514205933
24,371,4895,5811,11365,21.919896841049194
24,381,5024,5965,11669,21.947571277618408
24,391,5154,6119,11973,23.732930660247803
24,401,5282,6276,12280,23.72891664505005
24,411,5414,6430,12584,23.75301432609558
24,421,5543,6588,12892,23.162001132965088
24,431,5671,6741,13195,24.756118297576904
24,441,5804,6899,13503,27.586467742919922
24,451,5931,7055,13809,26.92669415473938
24,461,6061,7207,14111,26.015749216079712
24,471,6191,7366,14420,28.2236590385437
24,481,6320,7520,14724,29.564659595489502
24,491,6451,7676,15030,28.808048248291016
28,1,27,52,27,1.1856110095977783
28,11,247,239,418,1.601700782775879
28,21,393,418,772,2.46781587600708
28,31,548,601,1130,2.7646524906158447
28,41,688,776,1480,3.528130531311035
28,51,828,951,1830,4.012750148773193
28,61,968,1126,2180,5.019378423690796
28,71,1108,1301,2530,5.588956117630005
28,81,1248,1476,2880,6.4897754192352295
28,91,1388,1651,3230,7.007849216461182
28,101,1528,1826,3580,7.484992027282715
28,111,1668,2001,3930,8.217693090438843
28,121,1808,2176,4280,8.389632940292358
28,131,1948,2351,4630,9.154598474502563
28,141,2088,2526,4980,9.879960298538208
28,151,2228,2701,5330,10.76343297958374
28,161,2368,2876,5680,12.033089637756348
28,171,2508,3051,6030,11.984569787979126
28,181,2648,3226,6380,12.565347909927368
28,191,2788,3401,6730,14.372602701187134
28,201,2928,3576,7080,12.991357803344727
28,211,3068,3751,7430,14.88386058807373
28,221,3208,3926,7780,14.440209150314331
28,231,3348,4101,8130,15.802829027175903
28,241,3488,4276,8480,16.219724416732788
28,251,3628,4451,8830,18.12495517730713
